CarName_Brand,CarName_Model,CarName_ModelYear,CarName_Engine,CarName_Miles,CarName_gears,CarName_Price,CarName_Region,CarName_Dealer
Audi,A6,2023,Diesel,1464,Automat,429000,Jämtland,Berners Person och Transportbilar i Östersund
Volkswagen,T-CROSS,2023,Bensin,195,Automat,259900,Gävleborg,Din Bil / Volkswagen Bollnäs
Volkswagen,T-Roc,2021,Bensin,5325,Manuell,194900,Gävleborg,Din Bil / Volkswagen Bollnäs
Peugeot,3008,2020,Diesel,8500,Manuell,199000,Kalmar,Landrins Bil - Vimmerby
Kia,Rio,2020,Bensin,2200,Manuell,149000,Västernorrland,
Kia,Venga,2017,Bensin,3995,Automat,149800,Örebro,Holmgrens bil Örebro
BMW,320,2018,Diesel,12156,Automat,194900,Östergötland,Holmgrens Bil Linköping
Audi,A4,2016,Diesel,18790,Automat,159900,Östergötland,Holmgrens Bil Linköping
Volkswagen,Golf,2018,Bensin,11521,Automat,189900,Östergötland,Holmgrens Bil Linköping
Volkswagen,Passat,2018,Bensin,13803,Automat,179900,Östergötland,Holmgrens Bil Linköping
Volkswagen,Golf,2018,Bensin,11738,Automat,189900,Östergötland,Holmgrens Bil Linköping
Audi,A6,2021,Diesel,14638,Automat,319800,Uppsala,Kamux Uppsala
BMW,X3,2020,Diesel,11100,Automat,379900,Jönköping,Holmgrens Bil Jönköping
BMW,118,2021,Bensin,2290,Automat,269900,Jönköping,Holmgrens Bil Jönköping
Volvo,V40,2015,Diesel,24600,Automat,129000,Skåne,
BMW,M3,2023,Bensin,362,Manuell,999900,Jönköping,Holmgrens Bil Jönköping
Volvo,V60,2017,Diesel,16900,Automat,154899,Skåne,Autoplatsen AB
BMW,520,2017,Diesel,13892,Automat,299900,Kalmar,Holmgrens Bil Vimmerby
BMW,X5,2021,Bensin,2985,Automat,879900,Kalmar,Holmgrens Bil Vimmerby
Kia,Stonic,2021,Bensin,2030,Automat,219800,Halland,Riddermark bil Halmstad
Peugeot,5008,2017,Diesel,13228,Automat,249800,Halland,Riddermark bil Halmstad
Volvo,V90,2020,Diesel,12145,Automat,304800,Kronoberg,Holmgrens Bil Växjö
Audi,A6,2014,Diesel,12965,Automat,194800,Södermanland,Riddermark Bil - Webblager
Volvo,S60,2020,Bensin,4776,Automat,349800,Göteborg,Riddermark Bil - Webblager Väst
Peugeot,2008,2015,Bensin,8417,Automat,124800,Göteborg,Riddermark Bil - Webblager Väst
Volvo,V40,2016,Diesel,8486,Manuell,164800,Göteborg,Riddermark Bil - Webblager Väst
BMW,335,2014,Bensin,12873,Automat,247800,Skåne,Riddermark Bil AB Webblager Syd
Volvo,V90,2020,Diesel,190724,Automat,290000,Stockholm,
Volkswagen,Golf,2016,Diesel,14100,Manuell,185000,Skåne,TCJ Bilcenter AB
BMW,118,2021,Bensin,3870,Manuell,239800,Östergötland,Holmgrens Bil Norrköping
Volvo,V40,2015,Diesel,17100,Automat,149000,Södermanland,AD Bil
Volvo,V60,2017,Bensin,10293,Manuell,159000,Skåne,
Volvo,XC70,2014,Diesel,34657,Automat,138900,Skåne,
Audi,A6,2014,Diesel,19545,Automat,189800,Västerbotten,Riddermark Bil - Webblager Norr
BMW,X3,2015,Diesel,20617,Automat,214800,Västerbotten,Riddermark Bil - Webblager Norr
Volkswagen,Passat,2018,Diesel,15735,Automat,214800,Västerbotten,Riddermark Bil - Webblager Norr
Kia,Sportage,2019,Diesel,7108,Automat,234800,Västerbotten,Riddermark Bil - Webblager Norr
Volvo,V60,2021,Diesel,8695,Automat,358400,Skaraborg,BegBil
BMW,520,2015,Diesel,10720,Automat,198700,Skaraborg,BegBil
Audi,A5,2018,Bensin,13095,Automat,274900,Örebro,Riddermark bil Örebro
Toyota,C-HR,2017,Bensin,10370,Automat,198800,Örebro,Riddermark bil Örebro
Volkswagen,Passat,2021,Diesel,8390,Automat,298900,Örebro,Riddermark bil Örebro
Volvo,V60,2016,Bensin,13868,Manuell,159900,Uppsala,Handla Bil Uppsala
Volkswagen,Tiguan,2022,Bensin,4015,Automat,459800,Örebro,Riddermark bil Örebro
Volkswagen,Passat,2017,Diesel,16573,Automat,179900,Uppsala,Handla Bil Uppsala
BMW,320,2019,Diesel,7181,Automat,279900,Uppsala,Handla Bil Uppsala
Audi,A5,2016,Bensin,13000,Automat,179900,Västmanland,Auto bil center i Fagersta
BMW,840,2020,Bensin,1630,Automat,799000,Skåne,S.Jönsson Bil AB
Volvo,V70,2014,Diesel,13350,Automat,176000,Kalmar,
Volvo,V60,2020,Diesel,8784,Automat,304900,Skåne,Bildeve Bergahuset
Volkswagen,Golf,2015,Bensin,11000,Automat,159900,Skåne,Bildeve Landskrona
Audi,Q5,2019,Diesel,5695,Automat,429800,Uppsala,Wing Auto
Audi,A6,2017,Diesel,21358,Automat,200000,Halland,
Volvo,V90,2020,Diesel,11428,Automat,319900,Norrbotten,JH Motor AB
Volvo,V40,2019,Diesel,10179,Automat,209800,Östergötland,"Tage Rejmes i Linköping Bil AB, Tornby"
Volvo,V90,2019,Diesel,12538,Automat,234800,Östergötland,"Tage Rejmes i Linköping Bil AB, Tornby"
Volvo,V60,2020,Diesel,8875,Automat,289900,Östergötland,"Tage Rejmes i Linköping Bil AB, Tornby"
Volvo,V60,2021,Diesel,8932,Automat,324900,Östergötland,"Tage Rejmes i Linköping Bil AB, Tornby"
Volvo,XC40,2021,Bensin,6217,Automat,269900,Östergötland,"Tage Rejmes i Linköping Bil AB, Tornby"
Volvo,V90,2021,Diesel,15417,Automat,259800,Östergötland,"Tage Rejmes i Linköping Bil AB, Tornby"
Volkswagen,Passat,2015,Diesel,14926,Automat,189800,Stockholm,"Riddermark Bil, Veddesta - Järfälla"
Volkswagen,Golf,2017,Bensin,10976,Automat,168900,Stockholm,"Riddermark Bil, Veddesta - Järfälla"
BMW,X6,2017,Diesel,7857,Automat,539900,Stockholm,"Riddermark Bil, Veddesta - Järfälla"
BMW,430,2018,Bensin,4225,Automat,349700,Stockholm,"Riddermark Bil, Veddesta - Järfälla"
Audi,A6,2016,Diesel,17391,Automat,249900,Västmanland,Riddermark bil Västerås
Volvo,S60,2017,Bensin,7493,Automat,339900,Västerbotten,Niemi Bil Skellefteå
Volkswagen,Tiguan,2017,Diesel,12273,Automat,289900,Västerbotten,Niemi Bil Umeå
Volkswagen,Golf,2018,Bensin,9649,Automat,249900,Västerbotten,Niemi Bil Umeå
Audi,Q7,2017,Diesel,14620,Automat,359900,Norrbotten,Niemi Bil AB - Spantgatan
Volvo,V40,2019,Bensin,6567,Automat,209900,Göteborg,Moberg Bil AB - Göteborg
Volvo,V90,2019,Diesel,16075,Automat,214900,Göteborg,Moberg Bil AB - Göteborg
Audi,A4,2018,Diesel,7666,Manuell,219900,Göteborg,Moberg Bil AB - Göteborg
Opel,Corsa,2017,Bensin,8185,Manuell,84900,Stockholm,Svenska Bilgruppen i Haninge AB
BMW,420,2016,Diesel,11900,Automat,199900,Stockholm,Svenska Bilgruppen i Haninge AB
Peugeot,208,2017,Bensin,10389,Automat,109900,Stockholm,Svenska Bilgruppen i Haninge AB
Volkswagen,Tiguan,2016,Diesel,12457,Automat,179900,Stockholm,Svenska Bilgruppen i Haninge AB
BMW,120,2018,Diesel,11948,Automat,214900,Stockholm,Svenska Bilgruppen i Haninge AB
Volvo,V40,2017,Diesel,10884,Manuell,134900,Stockholm,Svenska Bilgruppen i Haninge AB
Audi,A4,2018,Bensin,9256,Automat,289000,Göteborg,Din Bil / Audi Göteborg - Begagnade bilar
Audi,A1,2017,Bensin,3458,Manuell,159000,Göteborg,Din Bil / Audi Göteborg - Begagnade bilar
Audi,A6,2023,Diesel,1464,Automat,429000,Jämtland,Berners Person och Transportbilar i Östersund
Volkswagen,T-CROSS,2023,Bensin,195,Automat,259900,Gävleborg,Din Bil / Volkswagen Bollnäs
Volkswagen,T-Roc,2021,Bensin,5325,Manuell,194900,Gävleborg,Din Bil / Volkswagen Bollnäs
Peugeot,3008,2020,Diesel,8500,Manuell,199000,Kalmar,Landrins Bil - Vimmerby
Kia,Rio,2020,Bensin,2200,Manuell,149000,Västernorrland,
Kia,Venga,2017,Bensin,3995,Automat,149800,Örebro,Holmgrens bil Örebro
BMW,320,2018,Diesel,12156,Automat,194900,Östergötland,Holmgrens Bil Linköping
Audi,A4,2016,Diesel,18790,Automat,159900,Östergötland,Holmgrens Bil Linköping
Volkswagen,Golf,2018,Bensin,11521,Automat,189900,Östergötland,Holmgrens Bil Linköping
Volkswagen,Passat,2018,Bensin,13803,Automat,179900,Östergötland,Holmgrens Bil Linköping
Volkswagen,Golf,2018,Bensin,11738,Automat,189900,Östergötland,Holmgrens Bil Linköping
Audi,A6,2021,Diesel,14638,Automat,319800,Uppsala,Kamux Uppsala
BMW,X3,2020,Diesel,11100,Automat,379900,Jönköping,Holmgrens Bil Jönköping
BMW,118,2021,Bensin,2290,Automat,269900,Jönköping,Holmgrens Bil Jönköping
Volvo,V40,2015,Diesel,24600,Automat,129000,Skåne,
BMW,M3,2023,Bensin,362,Manuell,999900,Jönköping,Holmgrens Bil Jönköping
Volvo,V60,2017,Diesel,16900,Automat,154899,Skåne,Autoplatsen AB
BMW,520,2017,Diesel,13892,Automat,299900,Kalmar,Holmgrens Bil Vimmerby
BMW,X5,2021,Bensin,2985,Automat,879900,Kalmar,Holmgrens Bil Vimmerby
Kia,Stonic,2021,Bensin,2030,Automat,219800,Halland,Riddermark bil Halmstad
Volvo,XC40,2021,Bensin,8237,Automat,309900,Östergötland,"Tage Rejmes i Linköping Bil AB, Tornby"
Audi,A6,2015,Diesel,13495,Automat,173000,Skåne,
Volvo,XC40,2021,Bensin,4505,Manuell,249900,Östergötland,"Tage Rejmes i Linköping Bil AB, Tornby"
Volvo,V60,2021,Diesel,9599,Automat,279900,Östergötland,"Tage Rejmes i Linköping Bil AB, Tornby"
Volkswagen,Golf,2017,Diesel,16326,Manuell,109800,Uppsala,RA Motor Uppsala
Volvo,V60,2020,Diesel,10504,Automat,299800,Östergötland,Tage Rejmes i Linköping Bil AB
Volkswagen,Passat,2019,Diesel,14680,Automat,234700,Stockholm,RCR Bil AB
Volvo,V90,2019,Diesel,12275,Automat,244900,Stockholm,RCR Bil AB
Audi,A4,2017,Diesel,8024,Automat,234900,Stockholm,RCR Bil AB
Kia,Picanto,2022,Bensin,4325,Automat,144900,Stockholm,RCR Bil AB
Volkswagen,Arteon,2019,Diesel,8757,Automat,289900,Göteborg,
BMW,530,2018,Diesel,18400,Automat,285000,Gävleborg,
Kia,Cee´d,2018,Diesel,6492,Manuell,158900,Västernorrland,Riddermark Bil Sundsvall
Audi,A4,2020,Diesel,10734,Automat,318900,Västernorrland,Riddermark Bil Sundsvall
BMW,X3,2018,Diesel,7613,Automat,368900,Västernorrland,Riddermark Bil Sundsvall
Kia,Sorento,2019,Diesel,8576,Automat,338900,Västernorrland,Riddermark Bil Sundsvall
Volvo,V90,2017,Diesel,18234,Automat,314700,Västernorrland,Riddermark Bil Sundsvall
Volvo,V40,2017,Diesel,11075,Automat,199400,Västernorrland,Riddermark Bil Sundsvall
BMW,X3,2016,Diesel,13775,Automat,244700,Västernorrland,Riddermark Bil Sundsvall
Volkswagen,Passat,2019,Diesel,9623,Automat,274800,Västernorrland,Riddermark Bil Sundsvall
Peugeot,208,2016,Bensin,3831,Manuell,98000,Stockholm,
Volvo,V90,2018,Bensin,11790,Automat,225000,Östergötland,AG Bil
Peugeot,508,2015,Diesel,20189,Automat,127500,Halland,
Peugeot,308,2016,Bensin,8844,Automat,145000,Södermanland,
BMW,M5,2020,Bensin,3414,Automat,949800,Stockholm,Fordonsbolaget AB
Volvo,S60,2020,Bensin,1064,Automat,539800,Stockholm,Fordonsbolaget AB
Volkswagen,Passat,2021,Diesel,9153,Automat,298900,Södermanland,Riddermark Bil - Webblager
Audi,RS4,2022,Bensin,6447,Automat,799800,Stockholm,Fordonsbolaget AB
Volvo,V90,2018,Bensin,12109,Automat,234000,Stockholm,DAAL Bil AB
Volkswagen,Polo,2019,Bensin,10355,Automat,144900,Stockholm,Carson Sverige AB
Kia,Rio,2017,Bensin,1689,Automat,169900,Stockholm,Carson Sverige AB
Audi,A4,2020,Diesel,11109,Automat,279800,Stockholm,DAAL Bil AB
Audi,A6,2015,Diesel,11008,Automat,239000,Stockholm,DAAL Bil AB
Audi,A6,2017,Diesel,11657,Automat,359700,Stockholm,DAAL Bil AB
Toyota,Avensis,2014,Diesel,18987,Manuell,109900,Norrbotten,Niemi Bil - Banvägen 7
Audi,Q3,2017,Diesel,11170,Manuell,189900,Norrbotten,Niemi Bil - Banvägen 7
BMW,435,2015,Diesel,21475,Automat,229900,Norrbotten,Niemi Bil - Banvägen 7
Volkswagen,Passat,2020,Diesel,10491,Automat,259900,Göteborg,Moberg Bil AB - Göteborg
Volvo,V90,2020,Diesel,12294,Automat,317900,Göteborg,Moberg Bil AB - Göteborg
Volvo,XC40,2021,Bensin,7082,Automat,329900,Göteborg,Moberg Bil AB - Göteborg
BMW,530,2019,Bensin,10199,Automat,299900,Göteborg,Moberg Bil AB - Göteborg
Volvo,V60,2022,Diesel,8120,Automat,299900,Göteborg,Moberg Bil AB - Göteborg
BMW,440,2018,Bensin,9072,Automat,379900,Göteborg,Autolane AB
Volkswagen,Tiguan,2018,Diesel,11520,Automat,229900,Göteborg,Autolane AB
Audi,A6,2015,Diesel,22964,Automat,97000,Östergötland,
Volkswagen,Golf,2023,Bensin,2180,Manuell,248900,Göteborg,Din Bil / Volkswagen Backa - Begagnade bilar
Volkswagen,Golf,2023,Bensin,2010,Automat,259800,Göteborg,Din Bil / Volkswagen Backa - Begagnade bilar
Volkswagen,Golf,2022,Diesel,3865,Automat,349000,Norrbotten,Norrlands Bil Arvidsjaur
Volvo,V90,2020,Diesel,11620,Automat,309000,Stockholm,ALD BIL
Audi,Q5,2023,Bensin,2028,Automat,549000,Stockholm,Din Bil / Audi Kista - Begagnade bilar
Audi,Q2,2023,Bensin,3354,Manuell,229000,Stockholm,Din Bil / Audi Kista - Begagnade bilar
Volkswagen,T-Roc,2022,Bensin,1644,Automat,274900,Stockholm,Din Bil / Volkswagen Kista - Begagnade bilar
Volkswagen,Tiguan,2022,Bensin,2100,Automat,299900,Göteborg,Din Bil / Volkswagen Sisjön - Begagnade bilar
Volkswagen,Golf,2021,Bensin,2150,Manuell,214900,Göteborg,Din Bil / Volkswagen Sisjön - Begagnade bilar
BMW,320,2015,Diesel,18900,Automat,164900,Västmanland,Season Cars
Peugeot,308,2015,Bensin,8150,Automat,149800,Stockholm,Kamux Heron City
Volvo,V40,2016,Diesel,13523,Manuell,139900,Skåne,Bilparken AB
Volvo,V90,2020,Diesel,7900,Automat,299800,Kalmar,Kamux Kalmar
Toyota,Aygo,2016,Bensin,7635,Manuell,84800,Dalarna,Kamux Borlänge
Opel,Insignia,2019,Bensin,9900,Automat,179500,Halland,Bendt Bil AB
Volvo,XC60,2018,Diesel,12500,Automat,349900,Gävleborg,Motorkompaniet Söderhamn
Volvo,XC60,2017,Diesel,15900,Manuell,199900,Gävleborg,Motorkompaniet Söderhamn
Volvo,XC40,2019,Bensin,11634,Automat,299900,Skåne,Bilia Outlet Jägersro
Peugeot,208,2020,Bensin,2653,Automat,184800,Södermanland,Riddermark Bil - Webblager
Audi,A6,2019,Bensin,9190,Automat,369700,Södermanland,Riddermark Bil - Webblager
Volvo,V90,2017,Diesel,12691,Automat,308900,Västernorrland,Riddermark Bil Sundsvall
Volkswagen,Passat,2017,Diesel,11670,Automat,258800,Västernorrland,Riddermark Bil Sundsvall
Audi,Q5,2014,Diesel,17027,Automat,214700,Västernorrland,Riddermark Bil Sundsvall
Audi,A3,2019,Bensin,7999,Automat,198800,Örebro,Riddermark bil Örebro
Audi,Q5,2017,Diesel,9040,Automat,229800,Örebro,Riddermark bil Örebro
BMW,318,2017,Diesel,11586,Manuell,174800,Örebro,Riddermark bil Örebro
Volvo,V60,2017,Diesel,20571,Automat,159800,Örebro,Riddermark bil Örebro
BMW,X6,2017,Diesel,12149,Automat,439800,Stockholm,"Riddermark Bil, Veddesta - Järfälla"
Toyota,Avensis,2017,Bensin,13967,Automat,184800,Stockholm,"Riddermark Bil, Veddesta - Järfälla"
Audi,A4,2017,Diesel,5686,Automat,279800,Stockholm,"Riddermark Bil, Veddesta - Järfälla"
Volkswagen,Golf,2019,Bensin,17250,Automat,140000,Östergötland,
Volkswagen,Passat,2020,Bensin,5932,Automat,264800,Stockholm,"Riddermark Bil, Täby - Arninge"
Toyota,Auris,2015,Diesel,9417,Manuell,144800,Västmanland,Riddermark bil Västerås
BMW,118,2019,Bensin,6761,Manuell,174800,Västmanland,Riddermark bil Västerås
Volkswagen,Touareg,2016,Diesel,17366,Automat,199800,Västmanland,Riddermark bil Västerås
Volvo,V40,2016,Diesel,11147,Manuell,179800,Västmanland,Riddermark bil Västerås
Peugeot,308,2022,Bensin,2167,Automat,244800,Västmanland,Riddermark bil Västerås
Volkswagen,Tiguan,2018,Diesel,10282,Automat,248700,Kalmar,Riddermark bil Kalmar
BMW,X5,2019,Diesel,11503,Automat,669900,Kalmar,Riddermark bil Kalmar
Volvo,V90,2018,Diesel,5491,Automat,299800,Kalmar,Riddermark bil Kalmar
Volvo,V90,2019,Diesel,9635,Automat,318900,Kalmar,Riddermark bil Kalmar
Volkswagen,Golf,2016,Bensin,20260,Manuell,77000,Skaraborg,
Volvo,V60,2019,Diesel,10997,Automat,237900,Göteborg,Riddermark Bil - Webblager Väst
Volvo,S90,2017,Diesel,12929,Automat,229800,Halland,Riddermark bil Halmstad
Audi,Q5,2015,Diesel,7122,Automat,259800,Halland,Riddermark bil Halmstad
Volvo,V40,2017,Diesel,9772,Automat,164900,Uppsala,Handla Bil Uppsala
Volvo,V70,2014,Diesel,14937,Automat,149900,Stockholm,"Riddermark Bil, Tyresö"
Volvo,V90,2017,Diesel,13911,Automat,283000,Stockholm,"Riddermark Bil, Tyresö"
Kia,Picanto,2017,Bensin,10896,Manuell,84900,Stockholm,"Riddermark Bil, Tyresö"
Audi,A4,2017,Diesel,8585,Automat,254800,Stockholm,"Riddermark Bil, Tyresö"
Audi,A4,2016,Diesel,11306,Automat,208900,Stockholm,"Riddermark Bil, Tyresö"
Volkswagen,Golf,2017,Bensin,15079,Automat,243900,Stockholm,"Riddermark Bil, Tyresö"
Volvo,V90,2017,Diesel,16512,Automat,248900,Stockholm,"Riddermark Bil, Tyresö"
BMW,118,2014,Diesel,21606,Manuell,124900,Stockholm,"Riddermark Bil, Tyresö"
Volvo,XC40,2019,Diesel,9032,Automat,289900,Skåne,Bilia Outlet Jägersro
Volkswagen,Taigo,2022,Bensin,950,Automat,278900,Skåne,Riddermark Bil AB Webblager Syd
Audi,Q2,2021,Bensin,3035,Automat,244000,Göteborg,Din Bil / Audi Göteborg - Begagnade bilar
Peugeot,3008,2018,Bensin,6046,Automat,239800,Skåne,Riddermark Bil AB Webblager Syd
Volkswagen,Golf,2021,Bensin,3154,Automat,259900,Skåne,Din Bil / Volkswagen Helsingborg - begagnade bilar
Audi,A4,2014,Bensin,9002,Automat,450000,Kronoberg,
Volkswagen,T-CROSS,2023,Bensin,180,Manuell,214000,Blekinge,Börjessons Bil i Karlskrona
Volkswagen,Passat,2018,Diesel,9900,Automat,249000,Blekinge,Börjessons Bil i Karlskrona
Volkswagen,T-Roc,2021,Bensin,2100,Manuell,209900,Gotland,Visby BilCity AB
Volkswagen,Golf,2015,Diesel,12573,Automat,209800,Stockholm,Riddermark bil Nacka
Audi,A3,2017,Diesel,6499,Automat,249700,Stockholm,Riddermark bil Nacka
Audi,Q7,2016,Diesel,18891,Automat,319800,Stockholm,Riddermark bil Nacka
Peugeot,308,2014,Diesel,11904,Automat,124700,Östergötland,Riddermark Bil - Linköping
Volvo,V40,2017,Diesel,12500,Automat,157900,Södermanland,Kamux Nyköping
Kia,Picanto,2019,Bensin,2093,Manuell,124900,Södermanland,Kamux Nyköping
Volvo,V90,2018,Diesel,11153,Automat,284900,Södermanland,Kamux Nyköping
Volkswagen,T-Roc,2024,Bensin,10,Automat,379000,Blekinge,Börjessons Bil i Karlshamn
Kia,Sportage,2017,Bensin,6492,Manuell,182900,Södermanland,Kamux Nyköping
Toyota,Auris,2015,Diesel,15572,Manuell,112900,Södermanland,Kamux Nyköping
Volkswagen,Passat,2016,Diesel,15675,Automat,174800,Östergötland,Riddermark Bil - Linköping
Volkswagen,Golf,2014,Diesel,14300,Automat,129900,Södermanland,Kamux Nyköping
Volvo,XC70,2015,Diesel,18700,Automat,179000,Jönköping,Be-Ge Personbilar AB
Volvo,XC40,2020,Bensin,12000,Automat,259000,Dalarna,Din Bil / Volkswagen Avesta
Volkswagen,T-CROSS,2020,Bensin,1920,Manuell,189900,Västernorrland,Berners Person och Transportbilar i Härnösand
Volkswagen,Passat,2022,Diesel,4089,Automat,309900,Stockholm,Volkswagen Värmdö Begagnade personbilar
Volvo,V60,2020,Bensin,7562,Automat,309900,Stockholm,Volvo Car Kista
Volvo,XC40,2023,Bensin,1440,Automat,309900,Stockholm,Volvo Car Kista
Audi,A3,2021,Bensin,3716,Manuell,219000,Stockholm,Din Bil / Audi Hammarby - Begagnade bilar
Volkswagen,Golf,2021,Bensin,4479,Automat,239900,Stockholm,Din Bil / Volkswagen Hammarby - Begagnade bilar
Volkswagen,Tiguan,2021,Diesel,3902,Automat,379900,Stockholm,Din Bil / Volkswagen Hammarby - Begagnade bilar
Volkswagen,Passat,2018,Diesel,10500,Automat,219900,Gävleborg,Din Bil / Volkswagen Sandviken
Audi,A1,2021,Bensin,3690,Manuell,189000,Skåne,Din Bil / Audi Malmö - Begagnade bilar
Audi,A6,2024,Diesel,388,Automat,509000,Stockholm,Din Bil / Audi Kista - Begagnade bilar
Volkswagen,Golf,2021,Bensin,3850,Automat,249800,Halland,Din Bil / Volkswagen Kungsbacka - Begagnade bilar
Volkswagen,Golf,2023,Bensin,1238,Manuell,224800,Halland,Din Bil / Volkswagen Kungsbacka - Begagnade bilar
Volkswagen,T-Roc,2021,Bensin,3815,Manuell,199000,Dalarna,Din Bil / Volkswagen Mora
Volvo,V40,2019,Bensin,8741,Automat,219900,Stockholm,Volvo Car Kista
Volkswagen,Tiguan,2023,Bensin,1800,Automat,319900,Göteborg,Din Bil / Volkswagen Sisjön - Begagnade bilar
Volkswagen,Golf,2021,Bensin,5750,Automat,259900,Göteborg,Din Bil / Volkswagen Sisjön - Begagnade bilar
Volkswagen,Tiguan,2021,Bensin,6050,Automat,259900,Göteborg,Din Bil / Volkswagen Sisjön - Begagnade bilar
Volkswagen,Tiguan,2019,Diesel,11400,Automat,279900,Stockholm,Din Bil / Volkswagen Täby - Begagnade bilar
Volvo,XC60,2022,Bensin,3729,Automat,389900,Stockholm,Volvo Car Kista
Volvo,XC40,2022,Bensin,5280,Automat,364900,Stockholm,Volvo Car Kista
Volvo,XC60,2022,Bensin,4409,Automat,459900,Stockholm,Volvo Car Kista
Volvo,XC40,2022,Bensin,4594,Automat,359900,Stockholm,Volvo Car Kista
Volvo,XC60,2022,Bensin,4437,Automat,439900,Stockholm,Volvo Car Kista
Volvo,XC40,2022,Bensin,5368,Automat,379900,Stockholm,Volvo Car Kista
Volvo,XC90,2022,Bensin,4914,Automat,479900,Stockholm,Volvo Car Kista
Volvo,V90,2017,Diesel,8960,Automat,249900,Dalarna,Kamux Borlänge
Audi,A4,2019,Diesel,9116,Automat,259900,Stockholm,Din Bil / Volkswagen Bromma - Begagnade bilar
Audi,A1,2017,Bensin,7805,Manuell,149700,Dalarna,Kamux Borlänge
Volkswagen,T-Roc,2020,Bensin,3203,Manuell,189900,Stockholm,Din Bil / Volkswagen Bromma - Begagnade bilar
Audi,A6,2019,Diesel,7390,Automat,330000,Göteborg,
Kia,Sorento,2016,Diesel,12770,Automat,238900,Dalarna,Kamux Borlänge
Volvo,V90,2017,Diesel,15700,Automat,240000,Stockholm,
Audi,Q3,2023,Bensin,1569,Automat,365000,Halland,
Audi,Q2,2024,Bensin,500,Manuell,289900,Göteborg,Toveks Bil Uddevalla
Volvo,V60,2017,Diesel,9907,Automat,204900,Blekinge,Ronneby Bilcenter AB
Peugeot,308,2015,Bensin,12113,Automat,125000,Göteborg,
Peugeot,308,2016,Bensin,12372,Automat,124900,Skåne,Bilia Outlet Värnhem Malmö
Volvo,V60,2020,Diesel,9400,Automat,485000,Skaraborg,
Volvo,V90,2018,Diesel,17451,Automat,229900,Skåne,Bilia Outlet Värnhem Malmö
BMW,540,2020,Bensin,4881,Automat,579900,Stockholm,Hoffsten Motor
Audi,A4,2014,Diesel,10644,Automat,179800,Västmanland,Riddermark bil Västerås
BMW,520,2017,Diesel,8254,Automat,288900,Västmanland,Riddermark bil Västerås
Kia,Soul,2015,Bensin,10246,Manuell,99900,Uppsala,Handla Bil Uppsala
Volkswagen,Touareg,2016,Diesel,9896,Automat,209900,Uppsala,Handla Bil Uppsala
Volkswagen,Passat,2020,Bensin,6661,Automat,229900,Uppsala,Handla Bil Uppsala
Volkswagen,Passat,2018,Bensin,11678,Automat,207000,Uppsala,Handla Bil Uppsala
Volvo,V60,2020,Diesel,10811,Automat,244000,Uppsala,Handla Bil Uppsala
Audi,A4,2017,Diesel,7893,Automat,224900,Uppsala,Handla Bil Uppsala
Volkswagen,Polo,2018,Bensin,5160,Automat,154600,Uppsala,Handla Bil Uppsala
Volkswagen,Tiguan,2018,Bensin,17113,Automat,222000,Uppsala,Handla Bil Uppsala
Volvo,V90,2017,Diesel,13555,Automat,259900,Uppsala,Handla Bil Uppsala
